id,session,word_count,response,response_nofill,item,item_nofill,SemDis_cbowukwacsubtitle_nf_m,SemDis_cbowsubtitle_nf_m,SemDis_cbowBNCwikiukwac_nf_m,SemDis_TASA_nf_m,SemDis_glove_nf_m,SemDis_MEAN,SemDis_factor
1,1,13,discovery,discovery,snow,snow,0.99754,1.01895,0.97414,1.03402,0.92176,0.98928,0.21918
2,2,13,snowy,snowy,snow,snow,0.40276,0.58792,0.51702,0.38175000000000003,0.54315,0.48652,-0.3493
3,1,13,frostbite,frostbite,snow,snow,0.63439,0.6030800000000001,0.65933,0.79428,0.77612,0.69344,-0.1298
1,1,13,romantic,romantic,candle,candle,0.7375,0.85953,0.88639,0.98069,0.91061,0.87494,0.01353
2,2,13,fire,fire,candle,candle,0.61419,0.67637,0.76919,0.5640700000000001,0.78545,0.68185,-0.14458
3,1,13,glow,glow,candle,candle,0.51456,0.71246,0.6612,0.62205,0.61494,0.62504,-0.21936
1,1,13,conversations,conversations,table,table,0.81411,0.84926,0.91344,0.96758,0.74776,0.85843,0.06254
2,2,13,side,side,table,table,0.76322,0.86416,0.87232,0.96839,0.55219,0.80406,0.02073
3,1,13,coffee,coffee,table,table,0.64501,0.7460100000000001,0.88024,0.6366,0.66066,0.7137,-0.09869
1,1,13,tree,tree,paper,paper,0.87756,0.96949,0.96126,1.01613,0.77618,0.92012,0.12786
2,2,13,stationary,stationary,paper,paper,0.88262,0.83521,0.90193,1.02047,0.89804,0.90765,0.1138
3,1,13,stationary,stationary,paper,paper,0.88262,0.83521,0.90193,1.02047,0.89804,0.90765,0.1138
1,1,12,nature,nature,bear,bear,0.8137099999999999,0.82099,0.97729,1.03609,0.7325900000000001,0.87613,0.07408
2,2,13,preserve,preserve,bear,bear,0.8213699999999999,0.9255599999999999,0.92598,0.99604,0.76428,0.88665,0.0794
3,1,13,nature,nature,bear,bear,0.8137099999999999,0.82099,0.97729,1.03609,0.7325900000000001,0.87613,0.07408
1,1,13,warm,warm,toaster,toaster,0.86709,0.84638,0.93699,0.9671,0.90739,0.90499,0.10394
2,2,13,morning,morning,toaster,toaster,0.83506,0.90934,0.93045,0.93848,1.09945,0.94256,0.08891
3,1,13,toast,toast,toaster,toaster,0.61479,0.62505,0.68772,0.6844399999999999,0.669,0.6562,-0.15013
