id,session,valid,pair,seed,item,response
1,1,1,1,snow,snow,winter
1,1,1,2,snow,winter,cold
1,1,1,3,snow,cold,ice
1,1,1,4,snow,ice,glacier
1,1,1,5,snow,glacier,mountain
1,1,1,6,snow,mountain,summit
1,1,1,7,snow,summit,view
1,1,1,8,snow,view,beauty
1,1,1,9,snow,beauty,inspiration
1,1,1,10,snow,inspiration,creativity
1,1,1,11,snow,creativity,imagination
1,1,1,12,snow,imagination,exploration
1,1,1,13,snow,exploration,discovery
2,2,1,1,snow,snow,winter
2,2,1,2,snow,winter,snowflake
2,2,1,3,snow,snowflake,frost
2,2,1,4,snow,frost,snowball
2,2,1,5,snow,snowball,ski
2,2,1,6,snow,ski,snowman
2,2,1,7,snow,snowman,icicle
2,2,1,8,snow,icicle,snowstorm
2,2,1,9,snow,snowstorm,white
2,2,1,10,snow,white,cold
2,2,1,11,snow,cold,powder
2,2,1,12,snow,powder,sledding
2,2,1,13,snow,sledding,snowy
3,1,1,1,snow,snow,blizzard
3,1,1,2,snow,blizzard,frosty
3,1,1,3,snow,frosty,snowball
3,1,1,4,snow,snowball,icy
3,1,1,5,snow,icy,winter
3,1,1,6,snow,winter,snowflake
3,1,1,7,snow,snowflake,sledding
3,1,1,8,snow,sledding,snowball
3,1,1,9,snow,snowball,snowy
3,1,1,10,snow,snowy,cold
3,1,1,11,snow,cold,white
3,1,1,12,snow,white,freezing
3,1,1,13,snow,freezing,frostbite
1,1,1,1,candle,candle,flame
1,1,1,2,candle,flame,light
1,1,1,3,candle,light,glow
1,1,1,4,candle,glow,warmth
1,1,1,5,candle,warmth,cozy
1,1,1,6,candle,cozy,relaxation
1,1,1,7,candle,relaxation,scented
1,1,1,8,candle,scented,wax
1,1,1,9,candle,wax,melting
1,1,1,10,candle,melting,fire
1,1,1,11,candle,fire,flicker
1,1,1,12,candle,flicker,ambiance
1,1,1,13,candle,ambiance,romantic
2,2,1,1,candle,candle,fragrance
2,2,1,2,candle,fragrance,wick
2,2,1,3,candle,wick,holder
2,2,1,4,candle,holder,flameless
2,2,1,5,candle,flameless,meditation
2,2,1,6,candle,meditation,candlelight
2,2,1,7,candle,candlelight,aromatherapy
2,2,1,8,candle,aromatherapy,relaxing
2,2,1,9,candle,relaxing,candlestick
2,2,1,10,candle,candlestick,illuminate
2,2,1,11,candle,illuminate,wax
2,2,1,12,candle,wax,drip
2,2,1,13,candle,drip,fire
3,1,1,1,candle,candle,flame
3,1,1,2,candle,flame,wax
3,1,1,3,candle,wax,scented
3,1,1,4,candle,scented,holder
3,1,1,5,candle,holder,fire
3,1,1,6,candle,fire,flicker
3,1,1,7,candle,flicker,candlelight
3,1,1,8,candle,candlelight,illuminate
3,1,1,9,candle,illuminate,aromatherapy
3,1,1,10,candle,aromatherapy,relaxation
3,1,1,11,candle,relaxation,wick
3,1,1,12,candle,wick,melt
3,1,1,13,candle,melt,glow
1,1,1,1,table,table,furniture
1,1,1,2,table,furniture,wood
1,1,1,3,table,wood,surface
1,1,1,4,table,surface,flat
1,1,1,5,table,flat,legs
1,1,1,6,table,legs,dining
1,1,1,7,table,dining,chair
1,1,1,8,table,chair,set
1,1,1,9,table,set,decoration
1,1,1,10,table,decoration,centerpiece
1,1,1,11,table,centerpiece,dinner
1,1,1,12,table,dinner,gathering
1,1,1,13,table,gathering,conversations
2,2,1,1,table,table,chair
