"","string","Zipf.SUBTLEX_UK"
"1","time",6.350268417
"2","moment",5.574383885
"3","power",5.289376175
"4","economy",5.157654238
"5","circumstances",4.52990201
"6","mood",4.502458229
"7","pride",4.479139007
"8","attitude",4.442447749
"9","impression",4.432291573
"10","religion",4.38566583
"11","appearance",4.320430257
"12","context",4.279953838
"13","command",4.253002255
"14","concept",4.237190155
"15","aspect",4.235940026
"16","capacity",4.226063516
"17","fate",4.224395371
"18","fame",4.182307877
"19","discipline",4.110709074
"20","request",4.064022611
"21","trend",4.017748165
"22","description",3.985992996
"23","closure",3.976769093
"24","comparison",3.957949432
"25","notion",3.933279464
"26","perception",3.90094009
"27","philosophy",3.897951502
"28","objective",3.896038909
"29","worship",3.889972475
"30","outlook",3.814000452
"31","caution",3.808675702
"32","array",3.755677614
"33","irony",3.732763606
"34","illusion",3.711514483
"35","mythology",3.676193618
"36","ritual",3.672085705
"37","necessity",3.582226451
"38","custom",3.559653103
"39","quantum",3.505968244
"40","longing",3.408385428
"41","satire",3.395573452
"42","inkling",3.375163623
"43","stealth",3.335222215
"44","paradox",3.24227839
"45","rebound",3.23731497
"46","afterlife",3.212931624
"47","disposition",3.138215495
"48","theology",3.110709074
"49","deduction",3.066803588
"50","hypothesis",2.907923331
"51","apathy",2.868921995
"52","deviation",2.865997442
"53","technicality",2.809679079
"54","mirage",2.802945696
"55","thrifty",2.704335898
"56","aptitude",2.609549579
"57","anthropology",2.546994075
"58","figment",2.521810529
"59","temerity",2.214249666
"60","pacifism",1.974489327
