"","string","Zipf.SUBTLEX_UK"
"1","people",6.347911452
"2","world",5.882446325
"3","water",5.530315367
"4","children",5.528346814
"5","party",5.526516802
"6","mum",5.459904384
"7","food",5.447568895
"8","dad",5.414337051
"9","music",5.34782728
"10","heart",5.299583497
"11","girl",5.293452846
"12","mother",5.288977475
"13","friend",5.285428471
"14","women",5.280643365
"15","garden",5.279659609
"16","film",5.263902236
"17","father",5.257171054
"18","hands",5.249618753
"19","girls",5.227023
"20","woman",5.220845348
"21","book",5.209658815
"22","sea",5.204615433
"23","kids",5.188761359
"24","eyes",5.173348903
"25","dog",5.168214255
"26","lady",5.151326627
"27","wife",5.145738356
"28","picture",5.126213914
"29","bed",5.115410661
"30","gold",5.101969238
"31","club",5.097308572
"32","colour",5.050842279
"33","animals",5.043046222
"34","star",5.040815253
"35","ladies",5.03041059
"36","doctor",5.021887178
"37","sun",5.011580171
"38","earth",4.999816756
"39","horse",4.990003498
"40","sport",4.974580748
"41","island",4.964337097
"42","cash",4.950066239
"43","wedding",4.945374272
"44","husband",4.94466486
"45","band",4.935510541
"46","animal",4.931415645
"47","river",4.926899368
"48","ring",4.920191091
"49","sister",4.905465154
"50","dancing",4.899366853
"51","university",4.887773229
"52","coast",4.864704373
"53","bird",4.852557362
"54","dress",4.847258794
"55","wine",4.842080855
"56","sugar",4.838750526
"57","brain",4.8371855
"58","camera",4.834606584
"59","radio",4.821151924
"60","cheese",4.807300662
"61","cake",4.805415495
"62","sex",4.795174642
"63","snow",4.789787382
"64","sky",4.789052327
"65","birthday",4.773503217
"66","dinner",4.770296194
"67","chocolate",4.767286366
"68","sunshine",4.747004045
"69","moon",4.737365235
"70","lunch",4.722023788
"71","beach",4.720836687
"72","smile",4.712518439
"73","artist",4.709962156
"74","spring",4.685452446
"75","castle",4.683223232
"76","lights",4.679136464
"77","teacher",4.67542065
"78","forest",4.668355065
"79","planet",4.659995356
"80","sports",4.649447107
"81","bath",4.646684441
"82","mountain",4.6449305
"83","medal",4.637048352
"84","landscape",4.620893053
"85","movie",4.618564946
"86","birth",4.611452064
"87","student",4.605184773
"88","restaurant",4.598825713
"89","honey",4.597629758
"90","apple",4.584196044
"91","bike",4.576034718
"92","swimming",4.554092431
"93","wave",4.55330943
"94","pie",4.551376007
"95","pool",4.538594489
"96","mates",4.537658038
"97","actor",4.536155504
"98","crown",4.529965629
"99","festival",4.510449339
"100","award",4.502458229
"101","flower",4.501236584
"102","nurse",4.497824984
"103","ocean",4.492795421
"104","singer",4.482345199
"105","gardens",4.461180744
"106","treasure",4.458939027
"107","pet",4.457738696
"108","electricity",4.443302889
"109","pudding",4.439558948
"110","gift",4.43649305
"111","novel",4.429173753
"112","chips",4.422136888
"113","writer",4.411237671
"114","toy",4.393662171
"115","diamond",4.389989838
"116","mountains",4.389198853
"117","guitar",4.385488422
"118","monkey",4.38138791
"119","trophy",4.374436161
"120","piano",4.359530848
"121","jewellery",4.354605318
"122","bacon",4.344973199
"123","dawn",4.343020871
"124","toys",4.335421387
"125","cinema",4.311685778
"126","medicine",4.306715106
"127","toast",4.268375023
"128","lottery",4.267677361
"129","zoo",4.253002255
"130","pizza",4.251676164
"131","balloon",4.249011772
"132","seed",4.244984283
"133","mom",4.244738988
"134","cakes",4.242648369
"135","choir",4.241290233
"136","dessert",4.238187674
"137","oxygen",4.236065201
"138","concert",4.234560715
"139","author",4.233554821
"140","instrument",4.224780897
"141","parade",4.221039736
"142","dancer",4.218701322
"143","bride",4.212931624
"144","applause",4.209884861
"145","breast",4.188076979
"146","rainbow",4.18046253
"147","orchestra",4.171552139
"148","literature",4.163195836
"149","crystal",4.162751545
"150","bubble",4.161861597
"151","clothing",4.13506842
"152","hug",4.130783368
"153","lips",4.125003393
"154","comedian",4.122409614
"155","shore",4.117997177
"156","muscle",4.114368414
"157","cheque",4.114037018
"158","biscuit",4.102105562
"159","cruise",4.091760623
"160","poet",4.088256816
"161","scientist",4.086317605
"162","twins",4.082947527
"163","circus",4.07540376
"164","globe",4.07139934
"165","diamonds",4.063650465
"166","steak",4.051570222
"167","butterfly",4.034590472
"168","musician",4.016712404
"169","surgeon",4.015258175
"170","disco",4.012125477
"171","cocktail",4.001087096
"172","pearl",3.998715663
"173","silk",3.997199799
"174","lighting",3.99633121
"175","millionaire",3.988656026
"176","strawberry",3.986437969
"177","drums",3.96454763
"178","icing",3.961025352
"179","ambassador",3.955807114
"180","gem",3.949316016
"181","graduate",3.945423154
"182","perfume",3.935285447
"183","sweets",3.935035205
"184","pulse",3.928731837
"185","ballroom",3.928223593
"186","fireworks",3.900398238
"187","burger",3.899855709
"188","bunny",3.890804723
"189","daylight",3.889972475
"190","kite",3.88522604
"191","penguin",3.880710917
"192","performer",3.860683099
"193","parcel",3.848329804
"194","outdoors",3.847718122
"195","mansion",3.841553441
"196","candy",3.829593851
"197","snack",3.823488242
"198","violin",3.822516303
"199","cuddle",3.821867133
"200","groom",3.818933801
"201","galaxy",3.814661479
"202","sunlight",3.814661479
"203","raspberry",3.814331091
"204","shield",3.796795081
"205","bracelet",3.792993036
"206","spa",3.790556107
"207","sunset",3.789507508
"208","candle",3.785993779
"209","dolphin",3.769820415
"210","jewel",3.762061652
"211","waltz",3.751877988
"212","panda",3.72956142
"213","pillow",3.728354487
"214","cuisine",3.725930512
"215","hedgehog",3.721860243
"216","jewels",3.716511214
"217","carnival",3.710256265
"218","gadget",3.683401991
"219","fountain",3.671626863
"220","penis",3.659523554
"221","inventor",3.658105062
"222","explorer",3.648528169
"223","breasts",3.646587185
"224","bra",3.646100581
"225","swimmer",3.644148692
"226","rainforest",3.628209491
"227","glitter",3.623106089
"228","kangaroo",3.620531722
"229","kitten",3.595008914
"230","reindeer",3.591158272
"231","blossom",3.588942479
"232","comet",3.570217544
"233","lemonade",3.566139631
"234","waterfall",3.564967446
"235","vaccine",3.562613541
"236","nectar",3.547605327
"237","grin",3.54515514
"238","headphones",3.543924843
"239","bridesmaids",3.540212902
"240","wand",3.538344966
"241","snowman",3.524395623
"242","vitamin",3.518557371
"243","pianist",3.508649083
"244","pancake",3.483904097
"245","fireman",3.481065561
"246","astronaut",3.476772665
"247","wink",3.456911539
"248","eyelashes",3.414237415
"249","harp",3.400743686
"250","duvet",3.393836272
"251","sunrise",3.385044585
"252","vacation",3.355651926
"253","fragrance",3.34894824
"254","scholar",3.322076094
"255","skyline",3.306395889
"256","bouquet",3.305330135
"257","astronomer",3.290128277
"258","heroine",3.287912484
"259","kiwi",3.274374936
"260","lagoon",3.26040179
"261","honeycomb",3.258028591
"262","jogging",3.23731497
"263","gingerbread",3.234811825
"264","sauna",3.184286443
"265","jacuzzi",3.171406915
"266","blueberry",3.16995199
"267","daffodil",3.147522162
"268","vagina",3.138215495
"269","limousine",3.114037018
"270","penthouse",3.114037018
"271","graduation",3.091935073
"272","orgasm",3.059347706
"273","tinsel",3.051761583
"274","confetti",3.045983745
"275","bongo",3.038158407
