"","string","Zipf.SUBTLEX_UK"
"1","school",5.452843142
"2","phone",5.190696913
"3","glass",4.918894069
"4","leg",4.876320323
"5","meat",4.804266925
"6","teeth",4.700529837
"7","metal",4.631746522
"8","pig",4.511180642
"9","tower",4.502051396
"10","mirror",4.44954851
"11","matches",4.4402634
"12","boot",4.425386395
"13","pepper",4.382014404
"14","nuts",4.316080026
"15","taxi",4.303619471
"16","bat",4.295182102
"17","jacket",4.287579137
"18","lawyer",4.233932305
"19","leather",4.164230751
"20","lime",4.085610285
"21","lobster",4.084901811
"22","policeman",4.061784936
"23","rhino",3.896859623
"24","oyster",3.824134995
"25","pier",3.811346238
"26","microphone",3.799881277
"27","submarine",3.768720471
"28","lizard",3.726740008
"29","sherry",3.726740008
"30","dice",3.708994391
"31","scooter",3.630234177
"32","cola",3.563203214
"33","pelvis",3.525039499
"34","thigh",3.476772665
"35","ape",3.390340925
"36","cactus",3.353747123
"37","psychiatrist",3.350874161
"38","goblet",3.21556372
"39","wrestler",3.18989032
"40","jeep",3.167027437
"41","buzzard",3.136644808
"42","auditorium",3.133486289
"43","skyscraper",3.028174186
"44","stethoscope",2.958186816
"45","cervix",2.546994075
