"","string","Zipf.SUBTLEX_UK"
"1","match",5.123692228
"2","glass",4.918894069
"3","crowd",4.764032931
"4","interview",4.594131772
"5","finger",4.530664823
"6","beef",4.453511217
"7","guard",4.325451059
"8","nuts",4.316080026
"9","core",4.310105566
"10","creature",4.307246613
"11","desert",4.3049031
"12","bee",4.185413018
"13","leather",4.164230751
"14","pump",4.109203139
"15","commander",4.10903549
"16","motorway",4.107187068
"17","horn",4.096446363
"18","lobster",4.084901811
"19","crunch",4.08241301
"20","volume",4.069383198
"21","rider",3.96454763
"22","moist",3.786346434
"23","octopus",3.776722773
"24","skinny",3.760193715
"25","maze",3.688730825
"26","altitude",3.625154652
"27","dynasty",3.621047818
"28","shaft",3.604220745
"29","pelvis",3.525039499
"30","thigh",3.476772665
"31","glacier",3.45841429
"32","psychiatrist",3.350874161
"33","beehive",3.088432679
"34","froth",3.009602947
"35","flicker",2.992400916
"36","wilds",2.992400916
"37","piston",2.931264173
"38","fiddler",2.760193715
"39","hippie",2.74881417
