"","string","Zipf.SUBTLEX_UK"
"1","moment",5.574383885
"2","power",5.289376175
"3","circumstances",4.52990201
"4","mood",4.502458229
"5","pride",4.479139007
"6","attitude",4.442447749
"7","impression",4.432291573
"8","religion",4.38566583
"9","appearance",4.320430257
"10","context",4.279953838
"11","command",4.253002255
"12","concept",4.237190155
"13","aspect",4.235940026
"14","capacity",4.226063516
"15","fate",4.224395371
"16","fame",4.182307877
"17","discipline",4.110709074
"18","request",4.064022611
"19","trend",4.017748165
"20","description",3.985992996
"21","closure",3.976769093
"22","comparison",3.957949432
"23","notion",3.933279464
"24","perception",3.90094009
"25","philosophy",3.897951502
"26","objective",3.896038909
"27","worship",3.889972475
"28","outlook",3.814000452
"29","caution",3.808675702
"30","array",3.755677614
"31","irony",3.732763606
"32","illusion",3.711514483
"33","mythology",3.676193618
"34","ritual",3.672085705
"35","necessity",3.582226451
"36","custom",3.559653103
"37","quantum",3.505968244
"38","longing",3.408385428
"39","satire",3.395573452
"40","inkling",3.375163623
"41","stealth",3.335222215
"42","paradox",3.24227839
"43","afterlife",3.212931624
"44","disposition",3.138215495
"45","theology",3.110709074
"46","deduction",3.066803588
"47","hypothesis",2.907923331
"48","apathy",2.868921995
"49","deviation",2.865997442
"50","technicality",2.809679079
"51","mirage",2.802945696
"52","thrifty",2.704335898
"53","aptitude",2.609549579
"54","anthropology",2.546994075
"55","figment",2.521810529
"56","temerity",2.214249666
"57","pacifism",1.974489327
