"","string","Zipf.SUBTLEX_UK"
"1","party",5.526516802
"2","music",5.34782728
"3","dancing",4.899366853
"4","champion",4.808240185
"5","sex",4.795174642
"6","laugh",4.773430592
"7","sunshine",4.747004045
"8","smile",4.712518439
"9","festival",4.510449339
"10","treasure",4.458939027
"11","holidays",4.290349235
"12","celebration",4.243387385
"13","concert",4.234560715
"14","lover",4.187797331
"15","diamonds",4.063650465
"16","fireworks",3.900398238
"17","laughter",3.843102834
"18","giggle",3.553670991
"19","orgasm",3.059347706
"20","intercourse",2.933781829
